"PK","MATRICULA","FECHA_RADICA_TEXTO","FECHA_APERTURA_TEXTO","YEAR_RADICA","ORIP","DIVIPOLA","DEPARTAMENTO","MUNICIPIO","TIPO_PREDIO_ZONA","CATEGORIA_RURALIDAD","NUM_ANOTACION","ESTADO_FOLIO","FOLIOS_DERIVADOS","Dinámica_Inmobiliaria","COD_NATUJUR","NOMBRE_NATUJUR","NUMERO_CATASTRAL","NUMERO_CATASTRAL_ANTIGUO","DOCUMENTO_JUSTIFICATIVO","COUNT_A","COUNT_DE","PREDIOS_NUEVOS","TIENE_VALOR","TIENE_MAS_DE_UN_VALOR","VALOR"
"52838-254-010701-00009-00151-2023","254-10701","2023-04-10 00:00:00","1982-01-21 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","9",,,"0","151","RESCILIACIÓN",,,"01-ESCRITURA 253 DE 30-03-2023; NOTARIA SEGUNDA DE TUQUERRES","2","2","0","1","0","20,000,000"
"52838-254-010701-00010-00604-2023","254-10701","2023-04-10 00:00:00","1982-01-21 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","10",,,"1","604","COMPRAVENTA DE COSA AJENA",,,"01-ESCRITURA 253 DE 30-03-2023; NOTARIA SEGUNDA DE TUQUERRES","2","2","0","1","0","20,000,000"
"52838-254-010701-00011-00604-2023","254-10701","2023-09-13 00:00:00","1982-01-21 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"1","604","COMPRAVENTA DE COSA AJENA",,,"01-ESCRITURA 809 DE 07-09-2023; NOTARIA SEGUNDA DE TUQUERRES","2","1","0","1","0","21,000,000"
"52838-254-010711-00007-00604-2018","254-10711","2018-05-31 00:00:00","1982-01-22 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"1","604","COMPRAVENTA DE COSA AJENA",,,"01-ESCRITURA 415 DE 30-05-2018;","1","1","0","0","0",
"52838-254-010726-00011-00197-2023","254-10726","2023-06-08 00:00:00","1982-01-29 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"1","197","ADJUDICACIÓN EN SUCESIÓN Y LIQUIDACIÓN DE LA SOCIEDAD CONYUGAL Y/O SOCIEDAD PATRIMONIAL DE HECHO",,,"04-OFICIO 04 DE 16-01-2022; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","8","4","0","1","0","11,305,500"
"52838-254-010727-00004-00412-2022","254-10727","2022-11-29 00:00:00","1982-02-01 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","4",,,"0","412","DEMANDA EN PROCESO DE PERTENENCIA",,,"04-OFICIO 495-22 DE 10-11-2022; JUZGADO 001 CIVIL MUNICIPAL DE TUQUERRES DE TUQUERRES","2","1","0","0","0",
"52838-254-010745-00014-00608-2023","254-10745","2023-02-09 00:00:00","1981-12-04 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","14",,,"1","608","COMPRAVENTA POSESIÓN CON ANTECEDENTE REGISTRAL",,,"01-ESCRITURA 045 DE 07-02-2023; NOTARIA SEGUNDA DE TUQUERRES","2","2","0","1","0","5,000,000"
"52838-254-010772-00007-00904-2016","254-10772","2016-09-02 00:00:00","1982-02-08 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"0","904","ACTUALIZACIÓN DE NOMENCLATURA",,,"01-ESCRITURA 5011 DE 01-09-2016;","0","1","0","0","0",
"52838-254-010772-00008-00125-2016","254-10772","2016-09-02 00:00:00","1982-02-08 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","8",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 5011 DE 01-09-2016;","1","1","0","0","0",
"52838-254-010772-00009-00219-2016","254-10772","2016-09-02 00:00:00","1982-02-08 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","9",,,"1","219","HIPOTECA ABIERTA SIN LIMITE DE CUANTIA",,,"01-ESCRITURA 5011 DE 01-09-2016;","1","1","0","0","0",
