"PK","MATRICULA","FECHA_RADICA_TEXTO","FECHA_APERTURA_TEXTO","YEAR_RADICA","ORIP","DIVIPOLA","DEPARTAMENTO","MUNICIPIO","TIPO_PREDIO_ZONA","CATEGORIA_RURALIDAD","NUM_ANOTACION","ESTADO_FOLIO","FOLIOS_DERIVADOS","Dinámica_Inmobiliaria","COD_NATUJUR","NOMBRE_NATUJUR","NUMERO_CATASTRAL","NUMERO_CATASTRAL_ANTIGUO","DOCUMENTO_JUSTIFICATIVO","COUNT_A","COUNT_DE","PREDIOS_NUEVOS","TIENE_VALOR","TIENE_MAS_DE_UN_VALOR","VALOR"
"52838-254-027518-00007-00125-2017","254-27518","2017-01-17 00:00:00","1995-02-22 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 1044 DE 27-12-2016;","1","1","0","0","0",
"52838-254-027520-00010-00125-2015","254-27520","2015-09-21 00:00:00","1995-02-22 00:00:00","2015","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","10",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 809 DE 18-09-2015;","1","1","0","0","0",
"52838-254-027520-00011-00125-2016","254-27520","2016-05-24 00:00:00","1995-02-22 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 383 DE 23-05-2016;","1","1","0","0","0",
"52838-254-027520-00012-00125-2019","254-27520","2019-07-18 00:00:00","1995-02-22 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 523 DE 17-07-2019;","1","1","0","0","0",
"52838-254-027535-00006-00901-2019","254-27535","2019-07-15 00:00:00","1995-02-27 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 541 DE 08-07-2019;","0","1","0","0","0",
"52838-254-045330-00006-00125-2019","254-45330","2019-03-28 00:00:00","2011-01-11 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 270 DE 05-02-2019;","1","1","0","0","0",
"52838-254-045330-00007-00901-2019","254-45330","2019-03-28 00:00:00","2011-01-11 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 1119 DE 19-03-2019;","1","1","0","0","0",
"52838-254-050184-00001-00918-2016","254-50184","2016-02-11 00:00:00","2016-02-23 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","1",,,"0","918","DIVISIÓN MATERIAL",,,"01-ESCRITURA 1059 DE 28-12-2015;","0","1","1","0","0",
"52838-254-050184-00002-00138-2016","254-50184","2016-02-11 00:00:00","2016-02-23 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","2",,,"1","138","DONACIÓN",,,"01-ESCRITURA 1059 DE 28-12-2015;","1","1","0","0","0",
"52838-254-050184-00003-00901-2016","254-50184","2016-02-11 00:00:00","2016-02-23 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","3",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 045 DE 10-02-2016;","0","2","0","0","0",
"52838-254-050207-00001-00125-2016","254-50207","2016-03-08 00:00:00","2016-03-16 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","1",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 117 DE 08-03-2016;","1","1","1","0","0",
"52838-254-050208-00001-00125-2016","254-50208","2016-03-07 00:00:00","2016-03-17 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","1",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 345 DE 02-03-2016;","1","2","1","0","0",
"52838-254-012301-00008-00125-2018","254-12301","2018-02-26 00:00:00","1983-05-27 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","8",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 125 DE 20-02-2018;","2","2","0","0","0",
"52838-254-038605-00013-00126-2020","254-38605","2020-06-10 00:00:00","2005-02-14 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","13",,,"1","126","COMPRAVENTA PARCIAL",,,"01-ESCRITURA 1063 DE 12-12-2019;","1","1","0","0","0",
"52838-254-010881-00022-00307-2019","254-10881","2019-12-30 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","22",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 1126 DE 27-12-2019;","3","1","0","0","0",
"52838-254-010883-00018-00841-2019","254-10883","2019-08-15 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","18",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"06-SENTENCIA S.N DE 13-09-2018;","1","1","0","0","0",
"52838-254-010883-00019-00109-2019","254-10883","2019-08-15 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","19",,,"1","109","ADJUDICACIÓN EN SUCESION",,,"06-SENTENCIA S.N DE 13-09-2018;","2","1","0","0","0",
"52838-254-010883-00020-00901-2019","254-10883","2019-08-15 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","20",,,"0","901","ACLARACIÓN",,,"04-OFICIO 0458 DE 19-06-2019; JU","2","1","0","0","0",
"52838-254-015306-00009-00125-2021","254-15306","2021-12-13 00:00:00","1985-08-26 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","9",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 1194 DE 29-11-2021; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","20,000,000"
"52838-254-010883-00021-00904-2019","254-10883","2019-12-05 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","21",,,"0","904","ACTUALIZACIÓN DE NOMENCLATURA",,,"01-ESCRITURA 6635 DE 04-12-2019;","0","2","0","0","0",
"52838-254-021453-00018-00491-2017","254-21453","2017-07-14 00:00:00","1990-03-08 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","18",,,"0","491","EMBARGO DERECHOS DE CUOTA",,,"04-OFICIO 306 DE 11-07-2017; JUZ","1","1","0","0","0",
"52838-254-010883-00022-00219-2019","254-10883","2019-12-05 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","22",,,"1","219","HIPOTECA ABIERTA SIN LIMITE DE CUANTIA",,,"01-ESCRITURA 6635 DE 04-12-2019;","1","2","0","0","0",
"52838-254-000002-00024-00308-2015","254-2","2015-11-26 00:00:00","1976-12-06 00:00:00","2015","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","24",,,"1","308","COMPRAVENTA NUDA PROPIEDAD",,,"01-ESCRITURA 892 DE 28-08-2015;","1","1","0","0","0",
"52838-254-000026-00003-00125-2021","254-26","2021-10-22 00:00:00","1976-12-02 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","3",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 1004 DE 20-10-2021; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","5,000,000"
"52838-254-000059-00022-00110-2016","254-59","2016-10-13 00:00:00","1976-12-06 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","22",,,"1","110","ADJUDICACIÓN LIQUIDACIÓN DE LA COMUNIDAD",,,"01-ESCRITURA 1529 DE 11-10-2016;","0","3","0","0","0",
"52838-254-000090-00007-00125-2023","254-90","2023-09-12 00:00:00","1976-12-14 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","7",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 527 DE 10-07-2023; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","10,000,000"
"52838-254-000099-00011-00126-2017","254-99","2017-11-29 00:00:00","1976-12-14 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"1","126","COMPRAVENTA PARCIAL",,,"01-ESCRITURA 812 DE 04-11-2017;","1","1","0","0","0",
"52838-254-000099-00012-00913-2017","254-99","2017-11-29 00:00:00","1976-12-14 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","12",,,"1","913","ENGLOBE - DECLARACIÓN PARTE RESTANTE",,,"01-ESCRITURA 812 DE 04-11-2017;","0","1","0","0","0",
"52838-254-000144-00012-00843-2020","254-144","2020-07-29 00:00:00","1976-12-20 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 247 DE 22-07-2020;","2","1","0","0","0",
"52838-254-000145-00003-00608-2023","254-145","2023-02-13 00:00:00","1976-12-21 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","3",,,"1","608","COMPRAVENTA POSESIÓN CON ANTECEDENTE REGISTRAL",,,"01-ESCRITURA 58 DE 09-02-2023; NOTARIA SEGUNDA DE TUQUERRES","4","2","0","1","0","3,000,000"
"52838-254-000149-00005-00843-2022","254-149","2022-10-04 00:00:00","1976-12-21 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","5",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 898 DE 03-10-2022; NOTARIA SEGUNDA DE TUQUERRES","0","2","0","0","0",
"52838-254-000149-00006-00607-2022","254-149","2022-10-04 00:00:00","1976-12-21 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 898 DE 03-10-2022; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","3,000,000"
"52838-254-000149-00007-00607-2022","254-149","2022-10-04 00:00:00","1976-12-21 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","7",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 899 DE 03-10-2022; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","3,000,000"
"52838-254-000151-00006-00125-2017","254-151","2017-03-03 00:00:00","1976-12-21 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 127 DE 01-03-2017;","3","1","0","0","0",
"52838-254-000155-00010-00607-2016","254-155","2016-09-16 00:00:00","1976-12-22 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","10",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 714 DE 14-09-2016;","1","2","0","0","0",
"52838-254-000155-00011-00607-2023","254-155","2023-05-18 00:00:00","1976-12-22 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 405 DE 17-05-2023; NOTARIA SEGUNDA DE TUQUERRES","2","2","0","1","0","3,000,000"
"52838-254-000159-00006-00607-2017","254-159","2017-08-24 00:00:00","1976-12-22 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 647 DE 23-08-2017;","1","1","0","0","0",
"52838-254-000184-00008-00427-2023","254-184","2023-05-24 00:00:00","1977-01-10 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","8",,,"0","427","EMBARGO EJECUTIVO CON ACCIÓN PERSONAL",,,"04-OFICIO 138-23 DE 18-05-2023; JUZGADO 001 CIVIL MUNICIPAL DE TUQUERRES DE TUQUERRES","2","2","0","0","0",
"52838-254-000202-00006-00901-2017","254-202","2017-04-28 00:00:00","1977-01-12 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 263 DE 26-04-2017;","0","4","0","0","0",
"52838-254-000202-00007-00110-2017","254-202","2017-04-28 00:00:00","1977-01-12 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"1","110","ADJUDICACIÓN LIQUIDACIÓN DE LA COMUNIDAD",,,"01-ESCRITURA 263 DE 26-04-2017;","0","4","0","0","0",
"52838-254-000241-00011-00604-2018","254-241","2018-04-11 00:00:00","1977-01-14 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"1","604","COMPRAVENTA DE COSA AJENA",,,"01-ESCRITURA 237 DE 09-04-2018;","1","2","0","0","0",
"52838-254-000275-00005-00843-2022","254-275","2022-12-01 00:00:00","1977-01-18 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","5",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 2274 DE 07-10-2022; NOTARIA SESENTA Y CINCO DE BOGOTA D. C.","1","1","0","0","0",
"52838-254-000283-00005-00843-2023","254-283","2023-08-25 00:00:00","1977-01-20 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","5",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 738 DE 15-08-2023; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","80,000"
"52838-254-000306-00009-00425-2022","254-306","2022-05-17 00:00:00","1977-01-21 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","9",,,"0","425","EMBARGO DE LA SUCESIÓN",,,"04-OFICIO 760 DE 10-05-2022; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","1","2","0","0","0",
"52838-254-000306-00010-00841-2022","254-306","2022-12-22 00:00:00","1977-01-21 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","10",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 2716 DE 13-12-2022; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","1","1","0","0","0",
"52838-254-000306-00011-00425-2022","254-306","2022-12-22 00:00:00","1977-01-21 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"0","425","EMBARGO DE LA SUCESIÓN",,,"04-OFICIO 2716 DE 13-12-2022; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","1","1","0","0","0",
"52838-254-000335-00011-00197-2020","254-335","2020-03-13 00:00:00","1977-01-28 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"1","197","ADJUDICACIÓN EN SUCESIÓN Y LIQUIDACIÓN DE LA SOCIEDAD CONYUGAL Y/O SOCIEDAD PATRIMONIAL DE HECHO",,,"01-ESCRITURA 6912 DE 16-12-2019;","2","1","0","0","0",
"52838-254-000335-00012-00314-2020","254-335","2020-03-13 00:00:00","1977-01-28 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"0","314","CONSTITUCIÓN DE USUFRUCTO",,,"01-ESCRITURA 6912 DE 16-12-2019;","1","2","0","0","0",
"52838-254-000363-00006-00125-2021","254-363","2021-08-03 00:00:00","1977-01-28 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 581 DE 03-08-2021; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","20,000,000"
"52838-254-000364-00016-00841-2023","254-364","2023-11-21 00:00:00","1978-07-05 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","16",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 3133 DE 30-08-2023; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","1","1","0","0","0",
"52838-254-000364-00017-00901-2023","254-364","2023-11-21 00:00:00","1978-07-05 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","17",,,"0","901","ACLARACIÓN",,,"04-OFICIO S.N. DE 24-10-2023; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","0","1","0","0","0",
"52838-254-000434-00008-00607-2021","254-434","2021-08-03 00:00:00","1977-02-08 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","8",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 575 DE 03-08-2021; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","5,000,000"
"52838-254-000439-00012-00197-2021","254-439","2021-08-11 00:00:00","1977-02-09 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"1","197","ADJUDICACIÓN EN SUCESIÓN Y LIQUIDACIÓN DE LA SOCIEDAD CONYUGAL Y/O SOCIEDAD PATRIMONIAL DE HECHO",,,"01-ESCRITURA 305 DE 22-04-2021; NOTARIA SEGUNDA DE TUQUERRES","2","2","0","1","0","36,000,000"
"52838-254-000449-00012-00197-2021","254-449","2021-09-14 00:00:00","1977-02-09 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","12",,,"1","197","ADJUDICACIÓN EN SUCESIÓN Y LIQUIDACIÓN DE LA SOCIEDAD CONYUGAL Y/O SOCIEDAD PATRIMONIAL DE HECHO",,,"01-ESCRITURA 825 DE 10-09-2021; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","12,000,000"
"52838-254-000449-00013-00126-2022","254-449","2022-11-24 00:00:00","1977-02-09 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","13",,,"1","126","COMPRAVENTA PARCIAL",,,"01-ESCRITURA 1129 DE 21-11-2022; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","10,000,000"
"52838-254-000449-00014-00913-2022","254-449","2022-11-24 00:00:00","1977-02-09 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","14",,,"1","913","ENGLOBE - DECLARACIÓN PARTE RESTANTE",,,"01-ESCRITURA 1129 DE 21-11-2022; NOTARIA SEGUNDA DE TUQUERRES","0","1","0","0","0",
"52838-254-000484-00011-00607-2021","254-484","2021-07-12 00:00:00","1977-02-10 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 249 DE 08-04-2021; NOTARIA SEGUNDA DE TUQUERRES","1","5","0","1","0","4,500,000"
"52838-254-000484-00012-00197-2021","254-484","2021-07-12 00:00:00","1977-02-10 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"1","197","ADJUDICACIÓN EN SUCESIÓN Y LIQUIDACIÓN DE LA SOCIEDAD CONYUGAL Y/O SOCIEDAD PATRIMONIAL DE HECHO",,,"01-ESCRITURA 249 DE 08-04-2021; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","4,500,000"
"52838-254-000484-00013-00901-2021","254-484","2021-07-12 00:00:00","1977-02-10 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","13",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 452 DE 24-06-2021; NOTARIA SEGUNDA DE TUQUERRES","1","5","0","0","0",
"52838-254-000484-00014-00126-2022","254-484","2022-05-09 00:00:00","1977-02-10 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","14",,,"1","126","COMPRAVENTA PARCIAL",,,"01-ESCRITURA 347 DE 28-04-2022; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","2,000,000"
"52838-254-000484-00015-00913-2022","254-484","2022-05-09 00:00:00","1977-02-10 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","15",,,"1","913","ENGLOBE - DECLARACIÓN PARTE RESTANTE",,,"01-ESCRITURA 347 DE 28-04-2022; NOTARIA PRIMERA DE TUQUERRES","0","1","0","0","0",
"52838-254-000484-00016-00344-2022","254-484","2022-05-09 00:00:00","1977-02-10 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","16",,,"0","344","SERVIDUMBRE DE TRANSITO PASIVA",,,"01-ESCRITURA 347 DE 28-04-2022; NOTARIA PRIMERA DE TUQUERRES","1","1","0","0","0",
"52838-254-000500-00005-00301-2020","254-500","2020-10-20 00:00:00","1977-11-28 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","5",,,"1","301","ADJUDICACIÓN SUCESIÓN DERECHO DE CUOTA",,,"01-ESCRITURA 454 DE 19-10-2020;","1","2","0","0","0",
"52838-254-000500-00006-00125-2021","254-500","2021-06-09 00:00:00","1977-11-28 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 601 DE 27-11-2020;","2","2","0","1","0","16,000,000"
"52838-254-000500-00007-00901-2021","254-500","2021-06-09 00:00:00","1977-11-28 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 376 DE 08-06-2021;","2","2","0","0","0",
"52838-254-000500-00008-00901-2021","254-500","2021-06-09 00:00:00","1977-11-28 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","8",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 601 DE 27-11-2020;","2","2","0","0","0",
"52838-254-000536-00016-00841-2021","254-536","2021-08-09 00:00:00","1977-02-18 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","16",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 039 DE 30-07-2021; JUZGADO 002  CIVIL  MUNICIPAL DE TUQUERRES DE TUQUERRES","1","1","0","0","0",
"52838-254-000536-00017-00843-2021","254-536","2021-12-15 00:00:00","1977-02-18 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","17",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 1168 DE 01-10-2021; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","15,000,000"
"52838-254-000536-00018-00125-2022","254-536","2022-10-13 00:00:00","1977-02-18 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","18",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 952 DE 04-10-2022; NOTARIA PRIMERA DE TUQUERRES","2","1","0","1","0","12,000,000"
"52838-254-000543-00009-00494-2017","254-543","2017-04-05 00:00:00","1977-02-22 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","9",,,"0","494","PROHIBICIÓN DE ENAJENAR ART. 97 LEY 906 DE 2004",,,"04-OFICIO 0321 DE 29-03-2017; JU","1","0","0","0","0",
"52838-254-000566-00007-00607-2022","254-566","2022-04-20 00:00:00","1977-02-24 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 236 DE 11-04-2022; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","3,000,000"
"52838-254-000575-00008-00913-2021","254-575","2021-12-15 00:00:00","1977-02-25 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","8",,,"1","913","ENGLOBE - DECLARACIÓN PARTE RESTANTE",,,"01-ESCRITURA 1021 DE 11-10-2021; NOTARIA PRIMERA DE TUQUERRES","0","1","0","0","0",
"52838-254-000575-00009-00125-2021","254-575","2021-12-15 00:00:00","1977-02-25 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","9",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 1021 DE 11-10-2021; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","10,000,000"
"52838-254-000580-00004-00607-2023","254-580","2023-02-27 00:00:00","1977-03-02 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","4",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 612 DE 23-02-2023; NOTARIA SEGUNDA DE TUQUERRES","2","4","0","1","0","7,450,000"
"52838-254-000585-00008-00197-2023","254-585","2023-09-21 00:00:00","1977-03-01 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","8",,,"1","197","ADJUDICACIÓN EN SUCESIÓN Y LIQUIDACIÓN DE LA SOCIEDAD CONYUGAL Y/O SOCIEDAD PATRIMONIAL DE HECHO",,,"01-ESCRITURA 396 DE 05-06-2023; NOTARIA SEGUNDA DE IPIALES","1","2","0","1","0","2,912,000"
"52838-254-000671-00006-00843-2018","254-671","2018-08-03 00:00:00","1977-03-29 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 759 DE 03-08-2018;","0","5","0","0","0",
"52838-254-000671-00007-00901-2018","254-671","2018-08-03 00:00:00","1977-03-29 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 353 DE 11-05-2018;","0","1","0","0","0",
"52838-254-000671-00008-00911-2018","254-671","2018-08-03 00:00:00","1977-03-29 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","8",,,"0","911","DECLARACIÓN DE CONSTRUCCIÓN EN SUELO PROPIO",,,"01-ESCRITURA 353 DE 11-05-2018;","0","1","0","0","0",
"52838-254-000671-00009-00317-2018","254-671","2018-08-03 00:00:00","1977-03-29 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","9",,,"1","317","CONSTITUCIÓN REGLAMENTO DE PROPIEDAD HORIZONTAL",,,"01-ESCRITURA 353 DE 11-05-2018;","0","1","0","0","0",
"52838-254-000671-00010-00904-2018","254-671","2018-08-03 00:00:00","1977-03-29 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","10",,,"0","904","ACTUALIZACIÓN DE NOMENCLATURA",,,"01-ESCRITURA 353 DE 11-05-2018;","0","1","0","0","0",
"52838-254-000677-00008-00607-2022","254-677","2022-07-18 00:00:00","1977-01-27 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","8",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 505 DE 09-06-2022; NOTARIA PRIMERA DE TUQUERRES","2","1","0","1","0","2,000,000"
"52838-254-000680-00010-00841-2017","254-680","2017-03-13 00:00:00","1977-03-14 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","10",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 209 DE 03-03-2017; JUZ","2","1","0","0","0",
